image_id,label
img_00000.jpg,9
img_00001.jpg,3
img_00002.jpg,3
img_00003.jpg,2
img_00004.jpg,5
img_00005.jpg,7
img_00006.jpg,8
img_00007.jpg,5
img_00008.jpg,8
img_00009.jpg,2
img_00010.jpg,7
img_00011.jpg,0
img_00012.jpg,5
img_00013.jpg,3
img_00014.jpg,2
img_00015.jpg,1
img_00016.jpg,3
img_00017.jpg,9
img_00018.jpg,0
img_00019.jpg,8
img_00020.jpg,6
img_00021.jpg,9
img_00022.jpg,0
img_00023.jpg,8
img_00024.jpg,8
img_00025.jpg,1
img_00026.jpg,7
img_00027.jpg,4
img_00028.jpg,5
img_00029.jpg,6
img_00030.jpg,2
img_00031.jpg,3
img_00032.jpg,6
img_00033.jpg,3
img_00034.jpg,0
img_00035.jpg,2
img_00036.jpg,8
img_00037.jpg,2
img_00038.jpg,2
img_00039.jpg,5
img_00040.jpg,5
img_00041.jpg,6
img_00042.jpg,8
img_00043.jpg,0
img_00044.jpg,6
img_00045.jpg,9
img_00046.jpg,4
img_00047.jpg,8
img_00048.jpg,2
img_00049.jpg,9
img_00050.jpg,4
img_00051.jpg,7
img_00052.jpg,0
img_00053.jpg,5
img_00054.jpg,9
img_00055.jpg,7
img_00056.jpg,9
img_00057.jpg,9
img_00058.jpg,1
img_00059.jpg,2
img_00060.jpg,2
img_00061.jpg,8
img_00062.jpg,4
img_00063.jpg,5
img_00064.jpg,9
img_00065.jpg,4
img_00066.jpg,3
img_00067.jpg,9
img_00068.jpg,9
img_00069.jpg,5
img_00070.jpg,0
img_00071.jpg,5
img_00072.jpg,2
img_00073.jpg,6
img_00074.jpg,2
img_00075.jpg,7
img_00076.jpg,1
img_00077.jpg,5
img_00078.jpg,3
img_00079.jpg,6
img_00080.jpg,1
img_00081.jpg,5
img_00082.jpg,2
img_00083.jpg,9
img_00084.jpg,4
img_00085.jpg,5
img_00086.jpg,7
img_00087.jpg,7
img_00088.jpg,1
img_00089.jpg,8
img_00090.jpg,9
img_00091.jpg,6
img_00092.jpg,7
img_00093.jpg,4
img_00094.jpg,9
img_00095.jpg,3
img_00096.jpg,0
img_00097.jpg,8
img_00098.jpg,8
img_00099.jpg,3
img_00100.jpg,5
img_00101.jpg,1
img_00102.jpg,8
img_00103.jpg,3
img_00104.jpg,8
img_00105.jpg,5
img_00106.jpg,8
img_00107.jpg,0
img_00108.jpg,4
img_00109.jpg,9
img_00110.jpg,3
img_00111.jpg,0
img_00112.jpg,3
img_00113.jpg,2
img_00114.jpg,3
img_00115.jpg,3
img_00116.jpg,5
img_00117.jpg,7
img_00118.jpg,5
img_00119.jpg,2
img_00120.jpg,6
img_00121.jpg,0
img_00122.jpg,0
img_00123.jpg,6
img_00124.jpg,9
img_00125.jpg,5
img_00126.jpg,5
img_00127.jpg,8
img_00128.jpg,9
img_00129.jpg,1
img_00130.jpg,7
img_00131.jpg,3
img_00132.jpg,0
img_00133.jpg,5
img_00134.jpg,2
img_00135.jpg,3
img_00136.jpg,0
img_00137.jpg,3
img_00138.jpg,2
img_00139.jpg,4
img_00140.jpg,8
img_00141.jpg,7
img_00142.jpg,8
img_00143.jpg,0
img_00144.jpg,0
img_00145.jpg,5
img_00146.jpg,7
img_00147.jpg,3
img_00148.jpg,2
img_00149.jpg,2
img_00150.jpg,5
img_00151.jpg,9
img_00152.jpg,9
img_00153.jpg,5
img_00154.jpg,3
img_00155.jpg,3
img_00156.jpg,7
img_00157.jpg,2
img_00158.jpg,6
img_00159.jpg,6
img_00160.jpg,9
img_00161.jpg,7
img_00162.jpg,1
img_00163.jpg,9
img_00164.jpg,7
img_00165.jpg,2
img_00166.jpg,3
img_00167.jpg,7
img_00168.jpg,7
img_00169.jpg,8
img_00170.jpg,2
img_00171.jpg,8
img_00172.jpg,2
img_00173.jpg,8
img_00174.jpg,1
img_00175.jpg,1
img_00176.jpg,0
img_00177.jpg,4
img_00178.jpg,5
img_00179.jpg,0
img_00180.jpg,7
img_00181.jpg,0
